lm0.0reg4l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.228		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.9995		eval_len25-49_acc: 0.0895		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.201		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1315		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.228		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.9995		eval_len25-49_acc: 0.0895		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.201		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1315		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
lm0.0reg4l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.828		eval_len50-74_acc: 0.0135		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.001
lm0.0reg4l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 1.0		eval_len25-49_acc: 0.1325		eval_len50-74_acc: 0.0		eval_len75-99_acc: 0.0		eval_len100-124_acc: 0.0		eval_len125-149_acc: 0.0		lr: 0.0001
