lm0.0reg4l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6825		eval_len25-49_acc: 0.515		eval_len50-74_acc: 0.508		eval_len75-99_acc: 0.499		eval_len100-124_acc: 0.48		eval_len125-149_acc: 0.487		lr: 0.001
lm0.0reg4l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6805		eval_len25-49_acc: 0.4955		eval_len50-74_acc: 0.501		eval_len75-99_acc: 0.499		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.497		lr: 0.0001
lm0.0reg4l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6785		eval_len25-49_acc: 0.508		eval_len50-74_acc: 0.502		eval_len75-99_acc: 0.501		eval_len100-124_acc: 0.5055		eval_len125-149_acc: 0.515		lr: 0.001
lm0.0reg4l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.684		eval_len25-49_acc: 0.5		eval_len50-74_acc: 0.47		eval_len75-99_acc: 0.404		eval_len100-124_acc: 0.4115		eval_len125-149_acc: 0.4055		lr: 0.0001
lm0.0reg4l2h64d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6825		eval_len25-49_acc: 0.515		eval_len50-74_acc: 0.508		eval_len75-99_acc: 0.499		eval_len100-124_acc: 0.48		eval_len125-149_acc: 0.487		lr: 0.001
lm0.0reg4l2h64d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.6805		eval_len25-49_acc: 0.4955		eval_len50-74_acc: 0.501		eval_len75-99_acc: 0.499		eval_len100-124_acc: 0.519		eval_len125-149_acc: 0.497		lr: 0.0001
lm0.0reg4l2h64d2mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.6785		eval_len25-49_acc: 0.508		eval_len50-74_acc: 0.502		eval_len75-99_acc: 0.501		eval_len100-124_acc: 0.5055		eval_len125-149_acc: 0.515		lr: 0.001
lm0.0reg4l2h64d2mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.684		eval_len25-49_acc: 0.5		eval_len50-74_acc: 0.47		eval_len75-99_acc: 0.404		eval_len100-124_acc: 0.4115		eval_len125-149_acc: 0.4055		lr: 0.0001
lm0.0reg4l2h256d1mlppelnstp30k0.001lr	reach max step			eval_len0-24_acc: 0.639		eval_len25-49_acc: 0.502		eval_len50-74_acc: 0.501		eval_len75-99_acc: 0.491		eval_len100-124_acc: 0.516		eval_len125-149_acc: 0.489		lr: 0.001
lm0.0reg4l2h256d1mlppelnstp30k0.0001lr	reach max step			eval_len0-24_acc: 0.676		eval_len25-49_acc: 0.522		eval_len50-74_acc: 0.5085		eval_len75-99_acc: 0.497		eval_len100-124_acc: 0.481		eval_len125-149_acc: 0.4885		lr: 0.0001
