task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,ne,train_steps_k,layer_order
addition,lm1l4h256d,0.001,101-150,0.0,lm,1,4,256,-,-,-,-,-,-,-,-
addition,lm1l4h256d,0.0001,0-50,0.0555,lm,1,4,256,-,-,-,-,-,-,-,-
addition,lm1l4h256d,0.0001,51-100,0.0,lm,1,4,256,-,-,-,-,-,-,-,-
addition,lm1l4h256d,0.0001,101-150,0.0,lm,1,4,256,-,-,-,-,-,-,-,-
addition,lm2l1h16d,0.001,0-50,0.039,lm,2,1,16,-,-,-,-,-,-,-,-
addition,lm2l1h16d,0.001,51-100,0.0,lm,2,1,16,-,-,-,-,-,-,-,-
addition,lm2l1h16d,0.001,101-150,0.0,lm,2,1,16,-,-,-,-,-,-,-,-
addition,lm2l1h16d,0.0001,0-50,0.026,lm,2,1,16,-,-,-,-,-,-,-,-
addition,lm2l1h16d,0.0001,51-100,0.0,lm,2,1,16,-,-,-,-,-,-,-,-
addition,lm2l1h16d,0.0001,101-150,0.0,lm,2,1,16,-,-,-,-,-,-,-,-
addition,lm2l1h64d,0.001,0-50,0.1215,lm,2,1,64,-,-,-,-,-,-,-,-
addition,lm2l1h64d,0.001,51-100,0.0,lm,2,1,64,-,-,-,-,-,-,-,-
addition,lm2l1h64d,0.001,101-150,0.0,lm,2,1,64,-,-,-,-,-,-,-,-
addition,lm2l1h64d,0.0001,0-50,0.0305,lm,2,1,64,-,-,-,-,-,-,-,-
addition,lm2l1h64d,0.0001,51-100,0.0,lm,2,1,64,-,-,-,-,-,-,-,-
addition,lm2l1h64d,0.0001,101-150,0.0,lm,2,1,64,-,-,-,-,-,-,-,-
addition,lm2l1h256d,0.001,0-50,0.01,lm,2,1,256,-,-,-,-,-,-,-,-
addition,lm2l1h256d,0.001,51-100,0.0,lm,2,1,256,-,-,-,-,-,-,-,-
addition,lm2l1h256d,0.001,101-150,0.0,lm,2,1,256,-,-,-,-,-,-,-,-
addition,lm2l1h256d,0.0001,0-50,0.1105,lm,2,1,256,-,-,-,-,-,-,-,-
addition,lm2l1h256d,0.0001,51-100,0.0,lm,2,1,256,-,-,-,-,-,-,-,-
addition,lm2l1h256d,0.0001,101-150,0.0,lm,2,1,256,-,-,-,-,-,-,-,-
addition,lm2l2h16d,0.001,0-50,0.064,lm,2,2,16,-,-,-,-,-,-,-,-
addition,lm2l2h16d,0.001,51-100,0.0,lm,2,2,16,-,-,-,-,-,-,-,-
addition,lm2l2h16d,0.001,101-150,0.0,lm,2,2,16,-,-,-,-,-,-,-,-
addition,lm2l2h16d,0.0001,0-50,0.027,lm,2,2,16,-,-,-,-,-,-,-,-
addition,lm2l2h16d,0.0001,51-100,0.0,lm,2,2,16,-,-,-,-,-,-,-,-
