task,model,learning_rate,bucket,accuracy,arch,layers,heads,d_model,dropout,mlp_size,kernel,pe,ln,train_steps_k,layer_order
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0dr1mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,16,0,1,s4,True,False,30,sa
addition,hybsas41l1h16d0dr2mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,16,0,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.001lr,0.001,100-149,0.6495,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.8385,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr1mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,16,0.1,1,s4,True,False,30,sa
addition,hybsas41l1h16d0.1dr2mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,1,16,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h4d0dr1mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,2,4,0,1,s4,True,False,30,sa
addition,hybsas41l2h4d0dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,2,4,0,2,s4,True,False,30,sa
addition,hybsas41l2h4d0dr1mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,2,4,0,1,s4,True,False,30,sa
addition,hybsas41l2h4d0dr2mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,2,4,0,2,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr1mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,2,4,0.1,1,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr2mlppenolnstp30k0.001lr,0.001,100-149,0.0,hyb,1,2,4,0.1,2,s4,True,False,30,sa
addition,hybsas41l2h4d0.1dr1mlppenolnstp30k0.0001lr,0.0001,100-149,0.0,hyb,1,2,4,0.1,1,s4,True,False,30,sa
